order_id,order_number,customer_id,sales_rep_id,order_date_id,shipping_date_id,region_id,order_status,payment_terms,currency_code,gross_total,discount_total,net_total,created_at
41,ORD1041,463,12,20250411,20250419,3,Delivered,Net 60,USD,4185.25,151.94,4033.31,2025-04-11 11:27:50
42,ORD1042,227,44,20251112,20251119,2,Delivered,Due on Receipt,GBP,3989.30,479.92,3509.38,2025-11-12 10:42:05
43,ORD1043,325,40,20230711,20230724,3,Shipped,Net 30,EUR,4764.80,117.43,4647.37,2023-07-11 12:14:51
44,ORD1044,24,16,20230530,20230606,4,Cancelled,Net 60,USD,2130.76,314.88,1815.88,2023-05-30 11:45:44
45,ORD1045,125,10,20230807,20230819,1,Shipped,Net 30,USD,2183.22,87.94,2095.28,2023-08-07 16:29:03
46,ORD1046,69,30,20250625,20250704,3,Cancelled,Net 30,GBP,4093.53,446.01,3647.52,2025-06-25 14:53:58
47,ORD1047,442,31,20240614,20240626,4,Shipped,Net 60,USD,1311.47,318.83,992.64,2024-06-14 16:31:40
48,ORD1048,40,46,20240425,20240429,3,Shipped,Net 60,GBP,1745.65,446.51,1299.14,2024-04-25 09:08:09
49,ORD1049,79,46,20230512,20230518,2,Cancelled,Net 60,GBP,2097.24,271.31,1825.93,2023-05-12 14:03:13
50,ORD1050,485,45,20250218,20250225,1,Cancelled,Due on Receipt,GBP,128.89,45.34,83.55,2025-02-18 14:54:57
51,ORD1051,377,35,20250926,20250929,2,Cancelled,Due on Receipt,EUR,1437.38,242.82,1194.56,2025-09-26 14:21:42
52,ORD1052,431,30,20251229,20251229,2,Cancelled,Net 30,USD,4543.95,295.95,4248.00,2025-12-29 18:01:05
53,ORD1053,94,4,20250215,20250220,3,Cancelled,Net 60,EUR,1137.14,163.42,973.72,2025-02-15 14:17:48
54,ORD1054,241,2,20241217,20241220,1,Pending,Net 30,EUR,3285.71,390.62,2895.09,2024-12-17 18:02:48
55,ORD1055,430,2,20240503,20240505,2,Delivered,Net 60,EUR,2420.45,57.19,2363.26,2024-05-03 11:29:44
56,ORD1056,311,39,20231202,20231206,1,Cancelled,Net 60,GBP,629.68,12.84,616.84,2023-12-02 12:36:43
57,ORD1057,102,5,20230728,20230808,2,Pending,Net 60,GBP,3885.16,425.15,3460.01,2023-07-28 17:51:07
58,ORD1058,220,43,20230522,20230530,3,Pending,Net 60,USD,3272.96,6.33,3266.63,2023-05-22 14:52:31
59,ORD1059,326,30,20250610,20250612,2,Cancelled,Net 60,USD,3695.60,482.74,3212.86,2025-06-10 12:39:51
60,ORD1060,423,47,20241022,20241104,3,Shipped,Net 60,GBP,1302.93,467.31,835.62,2024-10-22 12:56:28
61,ORD1061,313,43,20241119,20241119,4,Delivered,Net 60,USD,2522.10,162.51,2359.59,2024-11-19 15:13:22
62,ORD1062,451,39,20230121,20230129,3,Shipped,Due on Receipt,USD,4745.51,42.81,4702.70,2023-01-21 14:31:35
63,ORD1063,331,46,20250706,20250718,4,Delivered,Due on Receipt,GBP,184.49,54.28,130.21,2025-07-06 14:44:15
64,ORD1064,189,31,20250521,20250601,3,Delivered,Net 30,EUR,2796.90,175.91,2620.99,2025-05-21 15:17:19
65,ORD1065,370,13,20230902,20230913,3,Cancelled,Net 60,GBP,2725.73,381.09,2344.64,2023-09-02 10:12:13
66,ORD1066,302,49,20230725,20230807,3,Shipped,Net 60,EUR,1051.18,113.74,937.44,2023-07-25 10:19:00
67,ORD1067,499,4,20230916,20230926,3,Cancelled,Net 60,USD,4355.46,245.44,4110.02,2023-09-16 08:36:18
68,ORD1068,175,12,20240601,20240614,1,Pending,Net 30,EUR,2440.87,411.06,2029.81,2024-06-01 14:31:04
69,ORD1069,416,37,20230624,20230627,3,Shipped,Due on Receipt,USD,680.41,382.22,298.19,2023-06-24 17:38:50
70,ORD1070,231,29,20250528,20250601,3,Shipped,Net 60,GBP,2886.28,30.12,2856.16,2025-05-28 09:48:13
71,ORD1071,42,11,20231222,20231230,2,Cancelled,Net 60,EUR,467.82,1.25,466.57,2023-12-22 15:44:38
72,ORD1072,119,19,20250718,20250719,3,Shipped,Net 60,EUR,3468.19,461.96,3006.23,2025-07-18 18:37:42
73,ORD1073,279,15,20240628,20240711,2,Delivered,Net 60,EUR,796.96,29.82,767.14,2024-06-28 12:38:47
74,ORD1074,240,45,20250404,20250408,3,Cancelled,Due on Receipt,USD,2552.31,246.90,2305.41,2025-04-04 09:38:02
75,ORD1075,310,17,20230707,20230710,1,Delivered,Due on Receipt,EUR,4813.36,417.98,4395.38,2023-07-07 17:37:01
76,ORD1076,391,49,20250821,20250829,2,Cancelled,Net 30,USD,3292.40,458.04,2834.36,2025-08-21 10:37:27
77,ORD1077,179,27,20241019,20241029,3,Delivered,Due on Receipt,USD,612.54,80.41,532.13,2024-10-19 14:44:31
78,ORD1078,417,49,20250720,20250721,1,Pending,Due on Receipt,GBP,1641.13,161.64,1479.49,2025-07-20 14:55:32
79,ORD1079,237,27,20240120,20240128,1,Pending,Net 30,USD,1872.72,378.22,1494.50,2024-01-20 18:28:48
80,ORD1080,282,9,20250616,20250630,3,Shipped,Due on Receipt,EUR,3521.43,60.71,3460.72,2025-06-16 18:38:51
81,ORD1081,160,36,20250415,20250416,1,Shipped,Net 60,GBP,1201.03,420.70,780.33,2025-04-15 09:29:07
82,ORD1082,150,33,20250430,20250513,3,Cancelled,Net 30,GBP,2464.25,236.11,2228.14,2025-04-30 15:35:09
83,ORD1083,261,48,20230523,20230527,2,Delivered,Net 30,USD,3886.11,427.21,3458.90,2023-05-23 13:59:50
84,ORD1084,372,20,20231101,20231108,4,Cancelled,Net 60,USD,2739.04,172.56,2566.48,2023-11-01 16:48:34
85,ORD1085,446,13,20250223,20250226,2,Cancelled,Net 60,GBP,4294.46,205.39,4089.07,2025-02-23 13:47:30
86,ORD1086,406,42,20251011,20251011,2,Cancelled,Net 30,GBP,718.61,482.68,235.93,2025-10-11 13:55:06
87,ORD1087,467,30,20231023,20231029,1,Delivered,Net 60,GBP,4367.57,484.98,3882.59,2023-10-23 09:30:50
88,ORD1088,355,26,20241103,20241116,1,Cancelled,Due on Receipt,EUR,3404.35,266.81,3137.54,2024-11-03 13:40:45
89,ORD1089,317,5,20240811,20240814,2,Pending,Net 60,EUR,3759.16,216.99,3542.17,2024-08-11 09:48:40
90,ORD1090,356,20,20230405,20230410,1,Shipped,Due on Receipt,USD,4001.10,146.68,3854.42,2023-04-05 13:27:09
91,ORD1091,290,44,20231215,20231217,2,Cancelled,Due on Receipt,EUR,486.94,424.05,62.89,2023-12-15 17:43:15
92,ORD1092,119,30,20250730,20250803,3,Shipped,Net 30,USD,3367.52,449.45,2918.07,2025-07-30 15:57:18
93,ORD1093,484,23,20250518,20250529,3,Cancelled,Net 30,EUR,1325.48,422.65,902.83,2025-05-18 11:24:54
94,ORD1094,196,37,20240828,20240908,3,Pending,Due on Receipt,GBP,1546.63,488.97,1057.66,2024-08-28 18:25:17
95,ORD1095,399,48,20251014,20251027,1,Delivered,Net 30,GBP,4530.36,143.10,4387.26,2025-10-14 11:38:51
96,ORD1096,98,40,20231008,20231018,3,Cancelled,Net 30,GBP,576.10,313.73,262.37,2023-10-08 08:19:50
97,ORD1097,187,47,20230704,20230718,2,Delivered,Due on Receipt,GBP,1546.04,373.74,1172.30,2023-07-04 10:12:08
98,ORD1098,468,18,20240610,20240624,2,Delivered,Net 30,USD,4140.98,240.92,3900.06,2024-06-10 12:47:55
99,ORD1099,494,5,20240407,20240420,2,Delivered,Net 30,USD,3413.99,337.20,3076.79,2024-04-07 14:54:51
100,ORD1100,8,17,20250720,20250725,1,Delivered,Net 30,GBP,3396.86,336.17,3060.69,2025-07-20 17:24:52
101,ORD1101,120,31,20241102,20241116,1,Delivered,Due on Receipt,USD,3089.40,323.83,2765.57,2024-11-02 18:52:29
102,ORD1102,60,9,20230318,20230322,1,Shipped,Net 60,USD,4980.04,58.06,4921.98,2023-03-18 11:56:34
103,ORD1103,190,43,20231113,20231127,4,Delivered,Net 30,GBP,2132.93,49.51,2083.42,2023-11-13 15:39:26
104,ORD1104,190,14,20250629,20250702,4,Delivered,Net 30,USD,4291.71,49.68,4242.03,2025-06-29 18:23:34
105,ORD1105,142,13,20250720,20250721,1,Delivered,Net 30,EUR,3347.57,320.85,3026.72,2025-07-20 17:01:03
106,ORD1106,403,37,20230521,20230603,2,Shipped,Net 60,EUR,3849.27,103.58,3745.69,2023-05-21 11:52:55
107,ORD1107,404,39,20240721,20240803,1,Shipped,Net 30,GBP,4921.74,493.76,4427.98,2024-07-21 16:16:51
108,ORD1108,444,2,20230131,20230205,2,Delivered,Net 30,EUR,3970.92,118.97,3851.95,2023-01-31 13:01:11
109,ORD1109,380,27,20230511,20230518,1,Shipped,Due on Receipt,EUR,2296.55,181.02,2115.53,2023-05-11 17:06:28
110,ORD1110,373,43,20250727,20250806,3,Cancelled,Due on Receipt,EUR,4823.73,30.41,4793.32,2025-07-27 15:54:25
111,ORD1111,252,46,20230531,20230614,4,Delivered,Net 60,GBP,495.87,301.64,194.23,2023-05-31 09:08:17
112,ORD1112,272,19,20251101,20251110,4,Shipped,Net 60,USD,2207.98,396.55,1811.43,2025-11-01 09:54:41
113,ORD1113,455,15,20241125,20241208,4,Delivered,Due on Receipt,USD,2322.14,207.99,2114.15,2024-11-25 09:20:27
114,ORD1114,192,10,20230518,20230519,4,Delivered,Net 30,GBP,4175.68,46.62,4129.06,2023-05-18 09:47:47
115,ORD1115,31,38,20230908,20230914,3,Pending,Net 60,GBP,1832.63,332.67,1499.96,2023-09-08 14:55:58
116,ORD1116,160,23,20251105,20251108,1,Delivered,Net 30,USD,858.18,241.09,617.09,2025-11-05 09:22:54
117,ORD1117,294,15,20230223,20230304,4,Delivered,Due on Receipt,USD,4652.51,414.73,4237.78,2023-02-23 12:01:11
118,ORD1118,472,22,20230113,20230115,3,Pending,Net 30,GBP,4362.33,283.16,4079.17,2023-01-13 14:04:09
119,ORD1119,272,14,20250509,20250516,4,Pending,Net 30,EUR,1770.39,185.03,1585.36,2025-05-09 13:49:36
120,ORD1120,81,49,20230617,20230621,1,Delivered,Net 30,GBP,2271.25,212.01,2059.24,2023-06-17 17:28:26
121,ORD1121,59,23,20230816,20230820,4,Pending,Net 30,USD,3423.27,296.57,3126.70,2023-08-16 16:42:19
122,ORD1122,307,4,20240223,20240227,1,Pending,Net 30,USD,4732.09,383.67,4348.42,2024-02-23 12:18:20
123,ORD1123,383,28,20230922,20230928,2,Delivered,Net 30,USD,2709.65,115.06,2594.59,2023-09-22 16:53:42
124,ORD1124,442,48,20250612,20250612,1,Cancelled,Due on Receipt,GBP,2352.80,38.93,2313.87,2025-06-12 13:36:27
125,ORD1125,214,19,20250409,20250409,1,Delivered,Net 30,USD,4834.38,85.94,4748.44,2025-04-09 17:29:53
126,ORD1126,433,7,20250611,20250620,2,Shipped,Net 60,EUR,2062.20,39.32,2022.88,2025-06-11 12:47:21
127,ORD1127,40,33,20251222,20251230,1,Shipped,Net 30,EUR,1050.13,388.11,662.02,2025-12-22 13:46:52
128,ORD1128,75,17,20231222,20231231,2,Cancelled,Net 60,GBP,849.06,379.58,469.48,2023-12-22 09:11:49
129,ORD1129,390,38,20241023,20241105,4,Cancelled,Due on Receipt,USD,4857.77,158.07,4699.70,2024-10-23 15:04:30
130,ORD1130,408,18,20241221,20241229,1,Delivered,Net 30,GBP,463.53,214.03,249.50,2024-12-21 08:03:23
131,ORD1131,443,6,20250805,20250814,4,Shipped,Net 60,GBP,2816.15,395.91,2420.24,2025-08-05 08:28:58
132,ORD1132,244,33,20230507,20230514,2,Shipped,Net 30,EUR,607.16,449.56,157.60,2023-05-07 13:45:05
133,ORD1133,363,29,20251209,20251217,4,Delivered,Due on Receipt,GBP,3088.05,181.95,2906.10,2025-12-09 12:24:26
134,ORD1134,27,41,20230515,20230520,3,Shipped,Net 60,EUR,563.08,339.19,223.89,2023-05-15 12:16:46
135,ORD1135,299,43,20241217,20241221,2,Pending,Net 60,GBP,4841.71,349.24,4492.47,2024-12-17 14:08:38
136,ORD1136,193,42,20230919,20230929,3,Pending,Due on Receipt,GBP,3543.87,473.55,3070.32,2023-09-19 18:58:33
137,ORD1137,217,33,20230207,20230212,3,Shipped,Net 30,EUR,1613.44,475.58,1137.86,2023-02-07 13:49:31
138,ORD1138,80,5,20230727,20230804,3,Delivered,Due on Receipt,EUR,3877.29,417.56,3459.73,2023-07-27 16:02:42
139,ORD1139,306,25,20231129,20231201,2,Pending,Net 60,USD,4173.59,385.55,3788.04,2023-11-29 10:46:28
140,ORD1140,347,47,20250628,20250707,2,Shipped,Net 60,USD,1496.15,374.27,1121.88,2025-06-28 15:14:34
141,ORD1141,463,13,20250621,20250628,3,Shipped,Net 30,GBP,3870.25,389.06,3481.19,2025-06-21 16:33:26
142,ORD1142,71,17,20250911,20250924,1,Delivered,Net 30,EUR,1918.94,467.15,1451.79,2025-09-11 16:54:07
143,ORD1143,140,29,20250614,20250615,2,Pending,Net 60,EUR,4737.42,111.02,4626.40,2025-06-14 15:56:22
144,ORD1144,203,33,20240427,20240503,3,Pending,Due on Receipt,GBP,4973.17,187.46,4785.71,2024-04-27 08:20:59
145,ORD1145,172,10,20230320,20230324,2,Cancelled,Net 60,GBP,4595.24,236.23,4359.01,2023-03-20 10:48:45
146,ORD1146,3,6,20240608,20240611,1,Pending,Net 60,EUR,4191.32,274.40,3916.92,2024-06-08 17:33:27
147,ORD1147,155,8,20240503,20240509,1,Cancelled,Due on Receipt,GBP,3230.86,311.41,2919.45,2024-05-03 09:07:53
148,ORD1148,9,41,20231022,20231026,2,Shipped,Due on Receipt,GBP,2203.27,307.40,1895.87,2023-10-22 11:36:26
149,ORD1149,44,34,20230519,20230527,3,Cancelled,Net 60,EUR,2766.00,393.21,2372.79,2023-05-19 16:35:01
150,ORD1150,326,25,20240603,20240614,3,Pending,Due on Receipt,GBP,179.59,141.61,37.98,2024-06-03 13:15:46
151,ORD1151,388,22,20230401,20230406,2,Cancelled,Due on Receipt,USD,2775.47,406.75,2368.72,2023-04-01 10:53:49
152,ORD1152,324,12,20230510,20230521,2,Shipped,Net 30,USD,3903.33,228.84,3674.49,2023-05-10 12:12:02
153,ORD1153,478,20,20250827,20250831,4,Pending,Due on Receipt,USD,279.44,180.77,98.67,2025-08-27 12:22:55
154,ORD1154,140,8,20250613,20250627,3,Cancelled,Due on Receipt,USD,2060.11,219.87,1840.24,2025-06-13 14:21:11
155,ORD1155,189,34,20230619,20230630,3,Delivered,Net 30,EUR,2180.05,215.30,1964.75,2023-06-19 10:34:18
156,ORD1156,168,43,20240919,20240926,3,Pending,Due on Receipt,USD,3052.85,213.06,2839.79,2024-09-19 15:22:28
157,ORD1157,315,28,20230428,20230429,3,Shipped,Net 30,EUR,3388.80,203.11,3185.69,2023-04-28 16:51:47
158,ORD1158,435,39,20230313,20230315,4,Pending,Due on Receipt,EUR,429.44,334.33,95.11,2023-03-13 13:23:24
159,ORD1159,348,29,20250131,20250207,3,Delivered,Due on Receipt,USD,3839.11,286.96,3552.15,2025-01-31 16:23:25
160,ORD1160,128,8,20240117,20240124,1,Delivered,Due on Receipt,USD,2636.95,456.77,2180.18,2024-01-17 09:16:49
161,ORD1161,110,40,20251002,20251005,3,Cancelled,Net 30,GBP,700.92,426.41,274.51,2025-10-02 15:11:57
162,ORD1162,496,21,20230513,20230521,3,Shipped,Net 60,GBP,2756.64,445.67,2310.97,2023-05-13 10:45:45
163,ORD1163,115,8,20231012,20231015,2,Cancelled,Due on Receipt,EUR,3972.83,13.14,3959.69,2023-10-12 16:36:23
164,ORD1164,314,6,20240925,20241001,1,Cancelled,Due on Receipt,EUR,4998.02,359.43,4638.59,2024-09-25 16:26:49
165,ORD1165,65,21,20250710,20250717,1,Shipped,Net 30,USD,3432.53,172.26,3260.27,2025-07-10 16:40:37
166,ORD1166,258,4,20251127,20251129,1,Delivered,Net 30,USD,1590.21,80.98,1509.23,2025-11-27 11:22:33
167,ORD1167,101,41,20230914,20230924,3,Shipped,Net 30,GBP,1583.84,266.74,1317.10,2023-09-14 16:41:10
168,ORD1168,320,47,20230326,20230408,3,Delivered,Due on Receipt,EUR,4332.53,40.61,4291.92,2023-03-26 18:49:36
169,ORD1169,393,37,20230304,20230311,4,Shipped,Due on Receipt,USD,4456.08,272.79,4183.29,2023-03-04 18:19:30
170,ORD1170,153,30,20230503,20230505,1,Shipped,Net 60,GBP,2254.07,242.13,2011.94,2023-05-03 11:21:38
171,ORD1171,164,47,20250327,20250329,3,Cancelled,Net 30,USD,3827.26,257.49,3569.77,2025-03-27 09:20:15
172,ORD1172,231,16,20230718,20230718,2,Shipped,Net 60,GBP,1522.04,192.07,1329.97,2023-07-18 17:26:15
173,ORD1173,370,21,20231123,20231130,2,Pending,Net 60,GBP,4980.25,233.41,4746.84,2023-11-23 12:31:01
174,ORD1174,235,16,20241223,20241223,2,Delivered,Due on Receipt,EUR,347.65,172.05,175.60,2024-12-23 18:43:30
175,ORD1175,434,7,20231002,20231016,4,Cancelled,Net 30,GBP,1395.92,182.89,1213.03,2023-10-02 14:23:02
176,ORD1176,288,13,20240814,20240815,3,Pending,Net 30,EUR,1993.11,225.18,1767.93,2024-08-14 16:17:52
177,ORD1177,202,24,20250118,20250130,3,Pending,Net 30,EUR,806.91,301.23,505.68,2025-01-18 14:32:02
178,ORD1178,366,22,20251129,20251206,4,Delivered,Net 30,USD,829.81,446.57,383.24,2025-11-29 10:20:59
179,ORD1179,316,48,20241119,20241127,3,Pending,Net 60,USD,4158.62,266.17,3892.45,2024-11-19 17:19:30
180,ORD1180,345,8,20240922,20241004,4,Cancelled,Net 60,GBP,4503.96,436.05,4067.91,2024-09-22 18:01:38
181,ORD1181,401,50,20230416,20230425,2,Cancelled,Net 30,GBP,2454.20,262.12,2192.08,2023-04-16 17:49:53
182,ORD1182,125,3,20240126,20240126,1,Cancelled,Due on Receipt,GBP,2261.09,209.39,2051.70,2024-01-26 14:44:13
183,ORD1183,472,31,20231010,20231018,1,Cancelled,Net 60,EUR,1115.97,162.52,953.45,2023-10-10 18:30:33
184,ORD1184,236,35,20241226,20250105,3,Delivered,Due on Receipt,USD,3882.75,360.46,3522.29,2024-12-26 18:51:44
185,ORD1185,99,16,20240903,20240906,3,Cancelled,Net 60,USD,4713.28,491.13,4222.15,2024-09-03 12:45:13
186,ORD1186,179,36,20240812,20240813,3,Shipped,Net 60,EUR,2910.04,271.60,2638.44,2024-08-12 14:52:22
187,ORD1187,148,46,20241210,20241224,1,Delivered,Due on Receipt,GBP,2267.64,128.22,2139.42,2024-12-10 15:13:12
188,ORD1188,140,9,20240505,20240508,1,Pending,Net 30,USD,348.75,315.68,33.07,2024-05-05 11:40:14
189,ORD1189,170,46,20230725,20230804,4,Cancelled,Due on Receipt,USD,3876.75,2.59,3874.16,2023-07-25 16:59:10
190,ORD1190,245,42,20240811,20240816,2,Shipped,Due on Receipt,GBP,1498.54,29.58,1468.96,2024-08-11 09:41:36
191,ORD1191,371,3,20250505,20250519,2,Cancelled,Net 30,GBP,4204.26,466.96,3737.30,2025-05-05 08:53:25
192,ORD1192,493,19,20230119,20230123,1,Cancelled,Net 30,GBP,2883.01,53.65,2829.36,2023-01-19 13:18:29
193,ORD1193,240,18,20230819,20230824,2,Pending,Due on Receipt,USD,896.22,229.46,666.76,2023-08-19 12:45:11
194,ORD1194,405,19,20231226,20240104,2,Pending,Net 60,GBP,4295.12,448.52,3846.60,2023-12-26 14:32:20
195,ORD1195,49,12,20250904,20250909,2,Delivered,Net 60,USD,4685.54,3.42,4682.12,2025-09-04 14:15:28
196,ORD1196,299,47,20240619,20240629,1,Delivered,Net 30,USD,1861.81,118.15,1743.66,2024-06-19 18:07:29
197,ORD1197,352,33,20230829,20230908,3,Shipped,Net 60,EUR,4589.04,147.52,4441.52,2023-08-29 17:14:14
198,ORD1198,233,48,20250501,20250512,3,Shipped,Net 30,GBP,2791.25,235.41,2555.84,2025-05-01 16:51:42
199,ORD1199,387,39,20251212,20251219,1,Shipped,Due on Receipt,GBP,2688.05,180.89,2507.16,2025-12-12 17:07:03
200,ORD1200,77,11,20251201,20251208,3,Cancelled,Net 30,USD,669.58,102.70,566.88,2025-12-01 17:31:05
201,ORD1201,68,33,20250724,20250802,4,Cancelled,Net 60,EUR,382.91,177.05,205.86,2025-07-24 12:46:01
202,ORD1202,382,14,20230403,20230409,1,Pending,Net 60,EUR,1788.19,31.88,1756.31,2023-04-03 08:59:57
203,ORD1203,147,27,20231005,20231017,2,Cancelled,Net 60,USD,3243.47,364.64,2878.83,2023-10-05 14:23:57
204,ORD1204,193,6,20241213,20241214,2,Shipped,Net 30,EUR,974.52,268.63,705.89,2024-12-13 16:08:46
205,ORD1205,153,30,20251225,20251231,4,Shipped,Due on Receipt,EUR,4134.47,123.76,4010.71,2025-12-25 13:09:17
206,ORD1206,17,43,20230202,20230205,4,Pending,Net 30,GBP,1109.80,50.45,1059.35,2023-02-02 08:28:38
207,ORD1207,23,26,20240424,20240502,4,Delivered,Net 30,GBP,1164.62,431.87,732.75,2024-04-24 08:08:32
208,ORD1208,295,21,20240430,20240504,3,Delivered,Net 60,EUR,4393.67,492.85,3900.82,2024-04-30 16:14:26
209,ORD1209,286,38,20250524,20250601,2,Delivered,Due on Receipt,USD,2528.54,486.15,2042.39,2025-05-24 18:42:24
210,ORD1210,210,10,20250209,20250211,3,Shipped,Net 60,EUR,3796.64,236.76,3559.88,2025-02-09 11:19:54
211,ORD1211,288,27,20251221,20251223,4,Cancelled,Net 60,EUR,2003.25,127.50,1875.75,2025-12-21 13:41:05
212,ORD1212,275,47,20230416,20230420,2,Shipped,Due on Receipt,GBP,1948.12,302.48,1645.64,2023-04-16 08:55:04
213,ORD1213,344,36,20250908,20250911,2,Shipped,Due on Receipt,EUR,4360.42,166.48,4193.94,2025-09-08 08:13:59
214,ORD1214,383,49,20240511,20240522,4,Delivered,Net 60,USD,3061.57,102.26,2959.31,2024-05-11 11:35:20
215,ORD1215,274,42,20240923,20240927,3,Cancelled,Net 60,EUR,1862.26,441.41,1420.85,2024-09-23 15:06:51
216,ORD1216,190,21,20230404,20230413,4,Cancelled,Net 60,EUR,4334.02,370.63,3963.39,2023-04-04 08:16:35
217,ORD1217,101,22,20250216,20250225,2,Delivered,Net 60,GBP,4183.48,249.65,3933.83,2025-02-16 18:43:21
218,ORD1218,329,48,20250801,20250803,4,Cancelled,Net 30,GBP,3690.58,176.09,3514.49,2025-08-01 10:46:34
