quota_id,sales_rep_id,region_id,date_id,quota_period_type,quota_target,created_at
209,39,1,20250328,Quarterly,23803,44:28.1
210,39,1,20250328,Monthly,23207,44:28.1
211,39,1,20250328,Quarterly,12046,44:28.1
212,39,1,20250328,Monthly,16543,44:28.1
213,39,1,20250328,Quarterly,6117,44:28.1
214,39,1,20250328,Monthly,14314,44:28.1
215,39,1,20250328,Quarterly,21615,44:28.1
216,39,1,20250328,Monthly,5926,44:28.1
217,39,1,20250328,Quarterly,23869,44:28.1
218,39,1,20250328,Monthly,10344,44:28.1
219,39,1,20250328,Quarterly,19346,44:28.1
220,39,1,20250328,Monthly,20013,44:28.1
221,39,1,20250328,Quarterly,7400,44:28.1
222,39,1,20250328,Monthly,23078,44:28.1
223,39,1,20250328,Quarterly,14122,44:28.1
224,39,1,20250328,Monthly,21835,44:28.1
225,39,1,20250328,Quarterly,24417,44:28.1
226,39,1,20250328,Monthly,6480,44:28.1
227,39,1,20250328,Quarterly,23676,44:28.1
228,39,1,20250328,Monthly,13181,44:28.1
229,39,1,20250328,Quarterly,24610,44:28.1
230,39,1,20250328,Monthly,12932,44:28.1
231,39,1,20250328,Quarterly,15971,44:28.1
232,39,1,20250328,Monthly,13336,44:28.1
233,39,1,20250328,Quarterly,12760,44:28.1
234,39,1,20250328,Monthly,14059,44:28.1
235,39,1,20250328,Quarterly,18376,44:28.1
236,39,1,20250328,Monthly,22391,44:28.1
237,39,1,20250328,Quarterly,24873,44:28.1
238,39,1,20250328,Monthly,23595,44:28.1
239,39,1,20250328,Quarterly,7029,44:28.1
240,39,1,20250328,Monthly,16732,44:28.1
241,39,1,20250328,Quarterly,21229,44:28.1
242,39,1,20250328,Monthly,11221,44:28.1
243,39,1,20250328,Quarterly,11543,44:28.1
244,39,1,20250328,Monthly,13981,44:28.1
245,39,1,20250328,Quarterly,9154,44:28.1
246,39,1,20250328,Monthly,7827,44:28.1
247,39,1,20250328,Quarterly,15511,44:28.1
248,39,1,20250328,Monthly,18416,44:28.1
249,39,1,20250328,Quarterly,22769,44:28.1
250,39,1,20250328,Monthly,9452,44:28.1
251,39,1,20250328,Quarterly,10651,44:28.1
252,39,1,20250328,Monthly,13858,44:28.1
253,39,1,20250328,Quarterly,8397,44:28.1
254,39,1,20250328,Monthly,16393,44:28.1
255,39,1,20250328,Quarterly,6277,44:28.1
256,39,1,20250328,Monthly,6316,44:28.1
257,39,1,20250328,Quarterly,12606,44:28.1
258,39,1,20250328,Monthly,14992,44:28.1
259,39,1,20250328,Quarterly,11347,44:28.1
260,39,1,20250328,Monthly,24866,44:28.1
261,39,1,20250328,Quarterly,19982,44:28.1
262,39,1,20250328,Monthly,10140,44:28.1
263,39,1,20250328,Quarterly,22070,44:28.1
264,39,1,20250328,Monthly,14405,44:28.1
265,39,1,20250328,Quarterly,17346,44:28.1
266,39,1,20250328,Monthly,23474,44:28.1
267,39,1,20250328,Quarterly,23876,44:28.1
268,39,1,20250328,Monthly,20798,44:28.1
269,39,1,20250328,Quarterly,22982,44:28.1
270,39,1,20250328,Monthly,21374,44:28.1
271,39,1,20250328,Quarterly,23166,44:28.1
272,39,1,20250328,Monthly,5291,44:28.1
273,39,1,20250328,Quarterly,20809,44:28.1
274,39,1,20250328,Monthly,5736,44:28.1
275,39,1,20250328,Quarterly,10368,44:28.1
276,39,1,20250328,Monthly,21388,44:28.1
277,39,1,20250328,Quarterly,8952,44:28.1
278,39,1,20250328,Monthly,23140,44:28.1
279,39,1,20250328,Quarterly,13790,44:28.1
280,39,1,20250328,Monthly,8493,44:28.1
281,39,1,20250328,Quarterly,10470,44:28.1
282,39,1,20250328,Monthly,19900,44:28.1
283,39,1,20250328,Quarterly,11822,44:28.1
284,39,1,20250328,Monthly,12790,44:28.1
285,39,1,20250328,Quarterly,8895,44:28.1
286,39,1,20250328,Monthly,11954,44:28.1
287,39,1,20250328,Quarterly,16638,44:28.1
288,39,1,20250328,Monthly,21055,44:28.1
289,39,1,20250328,Quarterly,13982,44:28.1
290,39,1,20250328,Monthly,19967,44:28.1
291,39,1,20250328,Quarterly,12901,44:28.1
292,39,1,20250328,Monthly,12834,44:28.1
293,39,1,20250328,Quarterly,11276,44:28.1
294,39,1,20250328,Monthly,5316,44:28.1
295,39,1,20250328,Quarterly,17539,44:28.1
296,39,1,20250328,Monthly,17110,44:28.1
297,39,1,20250328,Quarterly,22387,44:28.1
298,39,1,20250328,Monthly,21320,44:28.1
299,39,1,20250328,Quarterly,17051,44:28.1
300,39,1,20250328,Monthly,10728,44:28.1

