line_item_id,order_id,product_id,line_number,quantity,unit_price,discount_pct,discount_amount,line_total,created_at
220,200,165,2,6,119.18,0.30,214.52,500.56,2024-12-17 00:00:00
221,200,16,3,8,634.38,0.23,1167.26,3907.78,2024-01-03 00:00:00
222,200,12,5,5,1045.56,0.25,1306.95,3920.85,2023-05-26 00:00:00
223,201,152,2,7,778.30,0.06,326.89,5121.21,2025-07-30 00:00:00
224,201,11,5,7,454.42,0.06,190.86,2990.08,2024-08-24 00:00:00
225,202,80,1,9,1271.48,0.09,1029.90,10413.42,2023-01-01 00:00:00
226,202,200,2,9,745.14,0.01,67.06,6639.20,2025-12-30 00:00:00
227,202,107,5,5,1163.96,0.09,523.78,5296.02,2023-05-15 00:00:00
228,203,2,1,16,626.17,0.02,200.37,9818.35,2023-05-27 00:00:00
229,203,121,2,2,1466.41,0.21,615.89,2316.93,2025-01-01 00:00:00
230,203,23,3,16,1045.66,0.29,4851.86,11878.70,2023-12-07 00:00:00
231,207,138,1,19,527.20,0.08,801.34,9215.46,2025-02-24 00:00:00
232,208,50,4,9,65.19,0.24,140.81,445.90,2024-12-26 00:00:00
233,209,131,1,1,523.03,0.16,83.68,439.35,2023-06-11 00:00:00
234,212,187,2,4,488.23,0.25,488.23,1464.69,2024-06-17 00:00:00
235,213,70,3,20,594.68,0.11,1308.30,10585.30,2023-08-28 00:00:00
236,214,102,4,2,973.45,0.25,486.73,1460.17,2023-01-06 00:00:00
237,216,13,5,10,26.85,0.07,18.80,249.70,2023-01-26 00:00:00
238,217,184,2,10,485.21,0.09,436.69,4415.41,2024-07-19 00:00:00
239,217,5,3,8,910.27,0.24,1747.72,5534.44,2023-11-03 00:00:00
240,220,46,2,3,1208.37,0.01,36.25,3588.86,2024-03-04 00:00:00
241,221,151,3,13,596.55,0.05,387.76,7367.39,2023-03-23 00:00:00
242,222,62,4,17,563.90,0.25,2396.57,7189.73,2025-03-28 00:00:00
243,223,176,1,9,946.23,0.21,1788.37,6727.70,2023-02-13 00:00:00
244,223,169,3,15,805.93,0.00,0.00,12088.95,2025-03-13 00:00:00
245,224,83,1,6,916.04,0.10,549.62,4946.62,2025-02-21 00:00:00
246,224,73,2,14,1066.85,0.06,896.15,14039.75,2024-02-22 00:00:00
247,224,185,5,8,520.39,0.13,541.21,3621.91,2024-02-14 00:00:00
248,226,15,3,7,911.30,0.14,893.07,5486.03,2024-06-23 00:00:00
249,226,6,4,17,1362.75,0.27,6255.02,16911.73,2025-06-03 00:00:00
250,228,125,1,2,763.33,0.29,442.73,1083.93,2025-09-16 00:00:00
251,228,11,2,20,260.60,0.29,1511.48,3700.52,2023-08-29 00:00:00
252,230,154,3,20,148.06,0.25,740.30,2220.90,2024-07-31 00:00:00
253,230,57,5,3,146.89,0.20,88.13,352.54,2023-10-25 00:00:00
254,232,100,2,13,159.39,0.10,207.21,1864.86,2024-07-18 00:00:00
255,233,142,2,11,845.71,0.10,930.28,8372.53,2025-03-28 00:00:00
256,234,62,1,6,990.63,0.03,178.31,5765.47,2025-04-05 00:00:00
257,235,9,2,10,1491.35,0.24,3579.24,11334.26,2023-11-22 00:00:00
258,236,38,1,1,477.17,0.18,85.89,391.28,2025-08-21 00:00:00
259,236,174,3,1,719.31,0.29,208.60,510.71,2025-01-14 00:00:00
260,239,183,2,9,451.44,0.22,893.85,3169.11,2023-04-27 00:00:00
261,239,137,3,5,1378.62,0.27,1861.14,5031.96,2023-06-13 00:00:00
262,241,114,3,3,441.02,0.22,291.07,1031.99,2024-11-25 00:00:00
263,242,187,2,8,869.10,0.13,903.86,6048.94,2025-09-22 00:00:00
264,242,100,4,14,207.08,0.12,347.89,2551.23,2024-05-23 00:00:00
265,242,84,5,19,570.13,0.00,0.00,10832.47,2024-04-20 00:00:00
266,244,4,3,5,1126.07,0.02,112.61,5517.74,2025-12-30 00:00:00
267,245,78,2,1,203.31,0.15,30.50,172.81,2025-07-07 00:00:00
268,246,2,1,7,1361.21,0.16,1524.56,8003.91,2023-04-10 00:00:00
269,247,85,3,2,596.12,0.01,11.92,1180.32,2025-03-21 00:00:00
270,250,62,1,14,1245.56,0.11,1918.16,15519.68,2023-09-22 00:00:00
271,252,188,2,17,1331.78,0.03,679.21,21961.05,2025-05-28 00:00:00
272,253,69,2,1,939.53,0.18,169.12,770.41,2023-01-23 00:00:00
273,254,56,3,19,75.26,0.04,57.20,1372.74,2023-12-04 00:00:00
274,255,16,1,8,962.25,0.04,307.92,7390.08,2023-10-05 00:00:00
275,256,6,1,20,400.82,0.05,400.82,7615.58,2024-02-14 00:00:00
276,256,197,3,15,1137.89,0.17,2901.62,14166.73,2025-01-20 00:00:00
277,257,60,2,4,865.97,0.25,865.97,2597.91,2025-03-14 00:00:00
278,257,11,4,2,938.69,0.16,300.38,1577.00,2023-03-30 00:00:00
279,257,35,5,15,529.74,0.24,1907.06,6039.04,2025-10-06 00:00:00
280,258,76,1,11,394.11,0.08,346.82,3988.39,2023-10-08 00:00:00
281,260,12,3,11,435.89,0.17,815.11,3979.68,2024-07-30 00:00:00
282,263,178,2,10,1389.34,0.07,972.54,12920.86,2023-07-05 00:00:00
283,264,32,5,18,34.27,0.17,104.87,511.99,2025-03-08 00:00:00
284,265,90,1,12,798.79,0.09,862.69,8722.79,2024-08-02 00:00:00
285,265,196,2,11,603.22,0.12,796.25,5839.17,2023-12-10 00:00:00
286,266,153,1,12,232.62,0.15,418.72,2372.72,2025-10-10 00:00:00
287,267,14,1,11,1052.12,0.11,1273.07,10300.25,2024-04-25 00:00:00
288,268,105,5,4,1218.18,0.25,1218.18,3654.54,2024-09-26 00:00:00
289,269,139,1,14,55.42,0.00,0.00,775.88,2025-07-08 00:00:00
290,270,164,1,5,1139.08,0.27,1537.76,4157.64,2025-04-11 00:00:00
291,270,5,5,5,303.14,0.24,363.77,1151.93,2023-05-09 00:00:00
292,272,94,4,17,554.10,0.02,188.39,9231.31,2024-02-12 00:00:00
293,273,175,2,1,111.10,0.07,7.78,103.32,2023-07-04 00:00:00
294,273,109,3,16,1215.36,0.09,1750.12,17695.64,2023-04-21 00:00:00
295,274,89,3,17,665.66,0.02,226.32,11089.90,2023-09-22 00:00:00
296,274,46,5,9,460.31,0.06,248.57,3894.22,2024-10-30 00:00:00
297,275,79,5,15,855.08,0.02,256.52,12569.68,2025-02-07 00:00:00
298,277,68,4,12,328.55,0.20,788.52,3154.08,2024-10-17 00:00:00
299,278,178,5,15,879.45,0.10,1319.18,11872.57,2025-07-31 00:00:00
300,280,32,1,19,1401.03,0.02,532.39,26087.18,2025-12-10 00:00:00
301,281,164,3,19,801.96,0.13,1980.84,13256.40,2024-09-07 00:00:00
302,282,184,5,13,875.30,0.13,1479.26,9899.64,2025-03-06 00:00:00
303,283,32,1,18,360.23,0.26,1685.88,4798.26,2025-10-10 00:00:00
304,283,68,4,18,695.41,0.16,2002.78,10514.60,2023-01-15 00:00:00
305,285,96,3,15,83.27,0.06,74.94,1174.11,2024-05-12 00:00:00
306,286,191,1,16,1272.87,0.24,4887.82,15478.10,2023-07-01 00:00:00
307,286,139,2,9,374.10,0.00,0.00,3366.90,2023-07-25 00:00:00
308,287,145,5,6,254.27,0.18,274.61,1251.01,2025-06-04 00:00:00
309,288,126,3,8,333.35,0.26,693.37,1973.43,2023-10-22 00:00:00
310,288,177,4,20,1050.92,0.06,1261.10,19757.30,2023-09-30 00:00:00
311,290,54,5,19,1497.45,0.12,3414.19,25037.36,2024-06-14 00:00:00
312,291,11,4,6,1304.18,0.28,2191.02,5634.06,2024-10-21 00:00:00
313,294,62,3,6,1225.06,0.28,2058.10,5292.26,2025-07-31 00:00:00
314,294,97,4,20,1290.60,0.20,5162.40,20649.60,2024-06-12 00:00:00
315,297,43,1,15,715.36,0.07,751.13,9979.27,2023-11-23 00:00:00
316,298,58,2,18,1302.52,0.20,4689.07,18756.29,2023-04-06 00:00:00
317,298,35,3,8,1032.16,0.01,82.57,8174.71,2023-07-12 00:00:00
318,299,65,3,1,107.24,0.19,20.38,86.86,2024-04-11 00:00:00
319,299,195,5,6,779.24,0.09,420.79,4254.65,2024-03-11 00:00:00
320,305,77,5,16,993.17,0.18,2860.33,13030.39,2025-12-11 00:00:00
321,306,39,1,20,23.55,0.20,94.20,376.80,2024-11-09 00:00:00
322,306,83,3,3,499.10,0.08,119.78,1377.52,2024-12-01 00:00:00
323,306,33,5,13,95.79,0.28,348.68,896.59,2024-10-24 00:00:00
324,307,112,4,19,1037.69,0.19,3746.06,15970.05,2024-02-18 00:00:00
325,308,142,4,8,195.23,0.00,0.00,1561.84,2025-03-16 00:00:00
326,309,73,4,8,328.03,0.05,131.21,2493.03,2025-06-04 00:00:00
327,311,161,1,5,1371.28,0.15,1028.46,5827.94,2025-08-15 00:00:00
328,311,120,3,7,313.59,0.02,43.90,2151.23,2025-11-02 00:00:00
329,312,180,3,2,1432.86,0.12,343.89,2521.83,2024-09-03 00:00:00
330,312,187,4,16,52.13,0.24,200.18,633.90,2023-01-08 00:00:00
331,315,54,3,18,548.64,0.07,691.29,9184.23,2023-03-12 00:00:00
332,315,86,4,20,476.66,0.19,1811.31,7721.89,2024-09-15 00:00:00
333,316,35,5,10,136.37,0.25,340.93,1022.77,2025-08-26 00:00:00
334,319,182,5,10,1094.61,0.04,437.84,10508.26,2025-10-12 00:00:00
335,320,70,4,1,1016.34,0.26,264.25,752.09,2025-08-27 00:00:00
336,322,195,3,12,764.45,0.13,1192.54,7980.86,2025-05-10 00:00:00
337,322,36,4,12,858.07,0.00,0.00,10296.84,2025-05-30 00:00:00
338,323,41,5,1,1265.73,0.07,88.60,1177.13,2025-04-09 00:00:00
339,324,49,1,17,996.92,0.11,1864.24,15083.40,2025-04-06 00:00:00
340,324,68,4,14,1096.10,0.08,1227.63,14117.77,2025-07-06 00:00:00
341,325,69,3,11,896.57,0.19,1873.83,7988.44,2024-03-03 00:00:00
342,325,27,4,17,1388.71,0.29,6846.34,16761.73,2025-09-19 00:00:00
